parent,child
,root
root,root/projects
root/projects,root/projects/hcil
root/projects/hcil,root/projects/hcil/People
root/projects/hcil/People,root/projects/hcil/People/ara
root/projects/hcil/People/ara,root/projects/hcil/People/ara/index.html
root/projects/hcil/People,root/projects/hcil/People/catherine.html
root/projects/hcil,root/projects/hcil/Research
root/projects/hcil/Research,root/projects/hcil/Research/1997
root/projects/hcil/Research/1997,root/projects/hcil/Research/1997/patientrecord.html
root/projects/hcil/Research,root/projects/hcil/Research/projects.html
root/projects/hcil/Research,root/projects/hcil/Research/video96.html
root/projects/hcil,root/projects/hcil/VisuMillion
root/projects/hcil/VisuMillion,root/projects/hcil/VisuMillion/index.html
root/projects/hcil,root/projects/hcil/about
root/projects/hcil/about,root/projects/hcil/about/acm-award-pics
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-010s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-010s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-016s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-016s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-019s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-019s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-022s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-022s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-024s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-024s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-025s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-025s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-027s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-027s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-028s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-028s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-029s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-029s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-030s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-030s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-031s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-031s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-032s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-032s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-033s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-033s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-034s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-034s_small.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-035s.jpg
root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-035s_small.jpg
root/projects/hcil/about,root/projects/hcil/about/acm-award.shtml
root/projects/hcil/about,root/projects/hcil/about/allison-outstanding-faculty-award.shtml
root/projects/hcil/about,root/projects/hcil/about/aol-fellowship.shtml
root/projects/hcil/about,root/projects/hcil/about/awards.shtml
root/projects/hcil/about,root/projects/hcil/about/events
root/projects/hcil/about/events,root/projects/hcil/about/events/Pics
root/projects/hcil/about/events/Pics,root/projects/hcil/about/events/Pics/bullet.gif
root/projects/hcil/about/events,root/projects/hcil/about/events/bullet.gif
root/projects/hcil/about/events,root/projects/hcil/about/events/f99-lectures.html
root/projects/hcil/about/events,root/projects/hcil/about/events/hcil-guests-2001.shtml
root/projects/hcil/about/events,root/projects/hcil/about/events/hcil-seminar-2000.shtml
root/projects/hcil/about/events,root/projects/hcil/about/events/hcil-seminar-2001.shtml
