child,parent,description
root,,LCC Classification
F,root,F
E,root,E
JC,J,JC
JX,J,JX
DS,D,DS
JQ,J,JQ
JA,J,JA
JK,J,JK
JS,J,JS
JV,J,JV
FIC,rootFIC,
JF,J,JF
PS,P,PS
JZ,J,JZ
UB,U,UB
JN,J,JN
Z,root,Z
BP,B,BP
PR,P,PR
PG,P,PG
PT,P,PT
HD,H,HD
HV,H,HV
PQ,P,PQ
JP,J,JP
JE,J,JE
PL,P,PL
PK,P,PK
F7,F,F7
JL,J,JL
J,root,J
PJ,P,PJ
PZ,P,PZ
QB,Q,QB
QL,Q,QL
BJ,B,BJ
BF,B,BF
QH,Q,QH
CT,C,CT
CT,C,CT
GV,G,GV
PN,P,PN
PH,P,PH
CP,C,CP
PA,P,PA
PE,P,PE
PC,P,PC
LE,L,LE
LE,L,LE
GR,G,GR
ML,M,ML
ML,M,ML
F5,F,F5
SF,S,SF
D,root,D
GF,G,GF
BR,B,BR
QA,Q,QA
S,root,S
HN,H,HN
F8,F,F8
DT,D,DT
CL,C,CL
PB,P,PB
N,root,N
LC,L,LC
R,root,R
G,root,G
GN,G,GN
DA,D,DA
BX,B,BX
HQ,H,HQ
PM,P,PM
RC,R,RC
FC,F,FC
BL,B,BL
BQ,B,BQ
NB,N,NB
DG,D,DG
SK,S,SK
TX,T,TX
NC,N,NC
QC,Q,QC
HF,H,HF
Q,root,Q
ND,N,ND
aP,a,aP
aP,a,aP
TR,T,TR
H,root,H
TT,T,TT
HB,H,HB
HX,H,HX
Fi,F,Fi
QK,Q,QK
BV,B,BV
NE,N,NE
GB,G,GB
RD,R,RD
LA,L,LA
T,root,T
QP,Q,QP
TJ,T,TJ
GC,G,GC
QE,Q,QE
B,root,B
JJ,J,JJ
ZA,Z,ZA
HC,H,HC
U,root,U
RA,R,RA
JB,J,JB
J?,J,J?
AP,A,AP
AP,A,AP
P,root,P
AL,A,AL
RK,R,RK
NX,N,NX
C,root,C
L,root,L
M,root,M
a,root,a
A,root,A
F1029-B-2006,F,Discovering the Arabian Gulf : Canada's evolving ties with the GCC states 
E183-M-1981,E,444 days : The american hostage story 
E183-W-1985,E,444 days : the hostages remember 
JC328-A-1997,JC,A brutal friendship : the West and the Arab elite 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
DS79-A-1988,DS,A new Iraq? : the Gulf War and implications for U.S. policy 
E876-D-1991,E,A very thin line : the Iran-Contra affairs 
