child,parent,description
root,,root
E,root,E
F,root,F
J,root,J
JC,J,JC
JX,J,JX
JQ,J,JQ
JA,J,JA
JK,J,JK
JS,J,JS
JV,J,JV
JF,J,JF
JZ,J,JZ
JN,J,JN
JP,J,JP
JE,J,JE
F7,F,F7
JL,J,JL
F5,F,F5
F8,F,F8
FC,F,FC
Fi,F,Fi
JJ,J,JJ
JB,J,JB
J?,J,J?
F1029-B-2006,F,Discovering the Arabian Gulf : Canada's evolving ties with the GCC states 
E183-M-1981,E,444 days : The american hostage story 
E183-W-1985,E,444 days : the hostages remember 
JC328-A-1997,JC,A brutal friendship : the West and the Arab elite 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
E876-D-1991,E,A very thin line : the Iran-Contra affairs 
JC599-V-1991,JC,A Victory turned sour : human rights in Kuwait since liberation.
F1432-W-1955,F,A wayfarer in Central America 
JQ1852-A-1985,JQ,Administrative development an Islamic perspective 
E840-A-1989,E,Advise & dissent : memoirs of South Dakota and the U.S. Senate 
E183-N-1983,E,After the Palestine-Israel War : limits to U.S. and Israeli policy 
E183-S-1985,E,All fall down : America's tragic encounter with Iran.
E183-H-1996,E,America and Egypt : from Roosevelt to Eisenhower 
E183-A-1985,E,American hostages in Iran
E183-A-1985,E,American hostages in Iran : the conduct of a crisis 
E183-G-1987,E,American public opinion toward Israel and the Arab-Israeli conflict 
E184-A-1991,E,An ancient heritage :the Arab-American minority 
JX4084-S-1970,JX,An examination of documents on which the State of Israel is based 
JQ1830-M-1997,JQ,Arab national communism in the Jewish state 
JA84-H-1962,JA,Arabic thought in the liberal age
JX1974-A-1994,JX,Arms control and the new Middle East security environment 
F1219-B-1993,F,Aztec 
E340-E-1968,E,Barbary General : the life of William H. Eaton 
E184-O-1988,E,Before the flames : a quest for the history of Arab Americans 
F801-L-1962,F,Behind the mountains.
JC599-B-1996,JC,Behind the red line : political repression in Sudan 
JK468-I-1987,JK,Veil : the secret wars of the CIA 1981-1987 
E415-H-1958,E,Born to adventure : the true story of Haji Williamson : sea rover and desert nomad 
E183-S-1985,E,Breaking with Moscow 
E183-A-1995,E,Broken covenant : American foreign policy and the crisis between the U.S. and Israel 
E183-A-1980,E,Bureaucracy and cold war diplomacy : the United States and Turkey
JQ1825-N-1978,JQ,Bureaucratic culture : citizens and administrators in Israel 
E876-H-1984,E,Caveat : realism
JQ3215-H-1984,JQ,Charte nationale
E184-A-1991,E,Children of the roojme : a family's journey 
JQ1825-B-1977,JQ,Civil service reforms in Lebanon : an evaluation of the Lebanese civil service system with special emphasis on the role of the Civil Service Board 
JQ1825-S-1978,JQ,Communism and agrarian reform in Iraq 
JQ3592-K-1956,JQ,Constitutional development in Libya 
JX1675-C-1979,JX,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan
E335-T-1963,E,Dawn like thunder ; the Barbary wars and the birth of the U.S. Navy 
