child,parent,description
root,,root
J,root,J
J000-A-2016,J,Practical politics : lessons in power and democracy 
J000--1993,J,The argumentative turn in policy analysis and planning 
J000-B-2005,J,Modern politics and government.
J000-B-1997,J,The reinvention of politics : rethinking modernity in the global social order 
J000-B-2002,J,Introduction to politics and society 
J000-B-1973,J,Political philosophy : an introduction 
J000-B-1966,J,Essays in political science 
J000-B-2000,J,Modern politics and government 
J000-B-1990,J,Political argument 
J000-B-1981,J,The Discipline of Politics 
J000-C-2002,J,Social and political philosophy : a contemporary introduction 
J000-C-2000,J,History of the International Political Science Association, 1949-1999 
J000-C-1934,J,Some relations between political and economic theory 
J000-C-1932,J,Theories and forms of political organisation 
J000-C-1964,J,Microcosmographia academica : being a guide for the young academic politician 
J000-C-1927,J,The science and method of politics 
J000-C-1993,J,The terms of political discourse 
J000-C-1983,J,The terms of political discourse 
J000-C-1992,J,In defence of politics 
J000-C-1987,J,What is politics 
J000--2015,J,Dialectics in world politics 
J000-D-1968,J,Readings in modern political analysis 
J000--1991,J,The development of political science : a comparative survey 
J000-D-1967,J,Politics of persuasion : essays written in memory of Dr G.P. Dhawan 
J000-D-1973,J,Institutions politiques et droit constitutionnel 
J000-D-1972,J,The study of politics 
J000-E-1985,J,The symbolic uses of politics 
J000-E-1964,J,The symbolic uses of politics 
J000--2004,J,Encyclopedia of government and politics.
J000-E-1967,J,The political illusion 
J000--1992,J,Encyclopedia of government and politics.
J000--1966,J,Approaches to comparative and international politics 
J000-F-1973,J,Social philosophy.
J000--2009,J,The future of political science : 100 perspectives 
J000--1968,J,Political research and political theory : essays in memory of Prof. V. O. Key Jr. 
J000-G-1971,J,An introduction to metapolitics : a brief inquiry into the conceptual language of political science 
J000-H-2007,J,Why we hate politics 
J000-H-2002,J,Political analysis 
J000-H-2008,J,Time and world politics : thinking the present 
J000--1975,J,Handbook of political science 
J000--1987,J,Interpreting politics 
J000-J-1938,J,Guide to the philosophy of morals and politics 
J000-J-1989,J,The limits of political science 
J000-J-2001,J,Politics : an introduction to the modern democratic state 
J000-J-1963,J,The Pure Theory of Politics 
J000-K-2008,J,Fixing the system : a history of populism, ancient and modern 
J000-K-1973,J,On freedom and human dignity : the importance of the sacred in politics 
J000-L-2008,J,Issues and methods in comparative politics : an introduction 
J000-L-2003,J,Issues and methods in comparative politics : an introduction 
J000-L-1981,J,Left and right : the topography of political perceptions 
J000-L-1969,J,Politics and the social sciences 
J000-L-1938,J,A grammar of politics 
J000-L-1951,J,An introduction to politics 
J000-L-1939,J,The danger of being a gentleman, and other essays 
J000-L-1965,J,Language of politics : studies in quantitative semantics 
J000-M-1967,J,The state and the citizen : an introduction to political philosophy,
J000-M-1972,J,The theatre of politics.
