dcchild,dccaption
081 - 089,General collections in specific languages
031 - 039,Encyclopedias & books of facts
30,Encyclopedias & books of facts
071 - 079,Geographic treatment of journalism & newspapers
50,"Magazines, journals & serials"
69,"Associations, organizations & museums"
071 - 079,Geographic treatment of journalism & newspapers
50,"Magazines, journals & serials"
060 - 068,"Associations, organizations & museums"
30,Encyclopedias & books of facts
1,Knowledge
1.1,Intellectual life
1.2,Scholarship & learning
1.3,Humanities
100 - 109,Philosophy
180,"Ancient, medieval & Eastern philosophy"
190,Modern western philosophy
160,Logic
110,Metaphysics
120,Epistemology
140,Philosophical schools of thought
150,Psychology
130,"Astrology, parapsychology & the occult"
111.85,Aesthetics--philosophy
170,Ethics
395,Etiquette (Manners)
200,Religion
210,Philosophy & theory of religion
291 - 295,Comparative religion; Religions other than Christianity
299,Other religions
296,Judaism
297,"Islam, Babism, Bahai Faith"
294.3,Buddhism
230 - 230.7,Christianity & Christian theology
270,History of Christianity
220,The Bible
231 - 239,Christianity & Christian theology
240,Christian practice & observance
250,Christian pastoral practice & religious orders
260,"Church organization, social work & worship"
280,Christian denominations
305.6,Religious groups
322.1,Religious organizations & groups
909,World history
930.1,Archaeology
929.1 - 929.3,Genealogy; Family histories; Genealogical sources
737.6,"Engraved seals, signets, stamps"
529 - 529.5,Chronology
737,Numismatics & sigillography
411.7,Paleography
929.6,Heraldry
929.7,"Royal houses, peerage, gentry, orders of knighthood"
929.1 - 929.4,Genealogy; Family histories; Genealogical sources
920,Biography & genealogy
920.1 - 920.7,Biography of specific classes of persons
305.89915,Australian aborigines
994.0049915,Australian aborigines--History
994.7,Australian Capital Territory
994.4,New South Wales--History
994.6,Tasmania--History
919 - 919.8,Oceania--Description & travel; Oceania--Geography
990 - 998,Islands of the Pacific
994.5,Victoria
994.3,Queensland
994.23,South Australia
994.1,Western Australia
994.2,Central Australia
994.29,Northern Australia
994.29,Northern Territory
993,New Zealand
305.899442,Maori (New Zealand people)
993.0049944,Maori (New Zealand people)
919.5 - 919.509,Oceania--Description & travel; Oceania--Geography
995 - 995.009,Oceania--History
996.5,Pacific Islands (Trust Territory)
996.9,Hawaii
995 - 995.7,New Guinea
919.4,Australia--Description & travel
994,Australia
996.13,American Samoa
305.891497,Romanies--social aspects
909.0491497,Romanies
917.3,United States--description and travel
917-917.09,Geography of and travel in North America
970-970.05,General history of North America
973,United States
917-917.09,Geography of and travel in North America
970-970.05,General history of North America
917-917.09,Geography of and travel in North America
970-970.05,General history of North America
970.00497,American native peoples
970.011,Earliest history to 1492
305.897,American native peoples--social aspects
970.00497,American native peoples
973-973.08,United States--History
305.897,American native peoples--social aspects
970.00497,American native peoples
970.01,Early history to 1599
970.011,Earliest history to 1492
970.015,"Columbus, Christopher--North American history"
970.01,Early history to 1599
917,Geography of and travel in North America
917.3,United States--description and travel
973,United States
327.73,Foreign relations--United States
305.896073,African Americans--social aspects
973.0496073,African Americans
973.2,"Colonial period, 1607-1775"
973.2,"Colonial period, 1607-1775"
973.25,"Colonial period, 1689-1732"
973.25,"Colonial period, 1689-1732"
973.26,"Period of extension of English rule, 1732-1763"
973.26,"Period of extension of English rule, 1732-1763"
973.3,"Periods of Revolution and Confederation, 1775-1789"
973.4-973.6,"Constitutional period, 1789-1809, 1809-1861"
973.3092,"United States--History--Revolution, 1775-1783 --Personal narratives"
973.318,"Period of confederation, 1783-1789"
973.4,"Constitutional period, 1789-1809"
973.41-973.43,"Administration of George Washington, 1789-1797"
973.44,"Administration of John Adams, 1797-1801"
327.73,Foreign relations--United States
973.44,"Administration of John Adams, 1797-1801"
973.46-973.48,"Administration of Thomas Jefferson, 1801-1809"
327.73,Foreign relations--United States
973.46,"Administration of Thomas Jefferson, 1801-1809"
973.47,"Tripolitan War, 1801-1805"
973.5-973.509,United States--Civilization--19th century
973.51-973.53,"Administration of James Madison, 1809-1817"
973.52,"War of 1812, 1812-1815"
973.53,"War with Algiers, 1815"
973.54,"Administration of James Monroe, 1817-1825"
326.0973,Slavery and emancipation--United States
973.7113,"Wilmot Proviso, 1847, and compromises"
973.55,"Administration of John Quincy Adams, 1825-1829"
973.56,"Administration of Andrew Jackson, 1829-1837"
973.57,"Administration of Martin Van Buren, 1837-1841"
973.58,"Administrations of William Henry Harrison and John Tyler, 1841-1845"
973.58,"Administrations of William Henry Harrison and John Tyler, 1841-1845"
327.73,Foreign relations--United States
973.62,"Mexican War, 1845-1848"
973.6,United States--Politics and government--1845-1861
973.61,"Administration of James Knox Polk, 1845-1849"
973.63,"Administration of Zachary Taylor, 1849-1850"
306.3620973,Slavery--United States
326.0973,Slavery and emancipation--United States
973.64,"Administration of Millard Fillmore, 1850-1853"
973.66,"Administration of Franklin Pierce, 1853-1857"
306.3620973,Slavery--United States
326.0973,Slavery and emancipation--United States
973.68,"Administration of James Buchanan, 1857-1861"
306.3620973,Slavery--United States
326.0973,Slavery and emancipation--United States
306.3620973,Slavery--United States
326.0973,Slavery and emancipation--United States
973.7114,Abolition movement
973.7-973.7109,"Administration of Abraham Lincoln, 1861-1865"
973.7,"Administration of Abraham Lincoln, 1861-1865; Civil War"
973.7,"Administration of Abraham Lincoln, 1861-1865; Civil War"
973.713,The South and secession
973.8,"Reconstruction period, 1865-1901"
973.81,"Administration of Andrew Johnson, 1865-1869"
973.8-973.809,"Reconstruction period, 1865-1901"
327.73,Foreign relations--United States
973.82,"Administration of Ulysses Simpson Grant, 1869-1877"
973.83,"Administration of Rutherford Birchard Hayes, 1877-1881"
973.84,"Administrations of James Abram Garfield and Chester Alan Arthur, 1881-1885"
973.84,"Administrations of James Abram Garfield and Chester Alan Arthur, 1881-1885"
973.85,"First administration of Grover Cleveland, 1885-1889"
973.86,"Administration of Benjamin Harrison, 1889-1893"
973.87,"Second administration of Grover Cleveland, 1893-1897"
973.88,"Administration of William McKinley, 1897-1901"
327.73,Foreign relations--United States
973.89,"Spanish-American War, 1898"
973.91,1901-1953
973.88,"Administration of William McKinley, 1897-1901"
973.911,"Administration of Theodore Roosevelt, 1901-1909"
973.912,"Administration of William Howard Taft, 1909-1913"
973.913,"Administration of Woodrow Wilson, 1913-1921"
