lccparent,lccchild,lcccaption,dcchild,dccaption
,LCC,LCC,na,na
LCC,A,General Works,na,na
A,AC,Collections. Series. Collected works,081 - 089,General collections in specific languages
A,AE,Encyclopedias,031 - 039,Encyclopedias & books of facts
A,AG,Dictionaries and other general reference works,30,Encyclopedias & books of facts
A,AI,Newspapers--Indexes,071 - 079,Geographic treatment of journalism & newspapers
A,AI,Periodicals--Indexes,50,"Magazines, journals & serials"
A,AM,Museums. Collectors and collecting,69,"Associations, organizations & museums"
A,AN,Newspapers,071 - 079,Geographic treatment of journalism & newspapers
A,AP,General periodicals,50,"Magazines, journals & serials"
A,AS,Academies and learned societies,060 - 068,"Associations, organizations & museums"
A,AY,Yearbooks. Almanacs. Directories,30,Encyclopedias & books of facts
A,AZ,History of scholarship and learning. The humanities,1,Knowledge
A,AZ,History of scholarship and learning. The humanities,1.1,Intellectual life
A,AZ,History of scholarship and learning. The humanities,1.2,Scholarship & learning
A,AZ,History of scholarship and learning. The humanities,1.3,Humanities
LCC,B,Philosophy,100 - 109,Philosophy
LCC,B,Philosophy,180,"Ancient, medieval & Eastern philosophy"
LCC,B,Philosophy,190,Modern western philosophy
B,BC,Logic,160,Logic
B,BD,Speculative philosophy,110,Metaphysics
B,BD,Speculative philosophy,120,Epistemology
B,BD,Speculative philosophy,140,Philosophical schools of thought
B,BF,Psychology,150,Psychology
BF,BF 1001+,Parapsychology,130,"Astrology, parapsychology & the occult"
B,BH,Aesthetics,111.85,Aesthetics--philosophy
B,BJ,Ethics,na,na
BJ,BJ 1-1725,Ethics,170,Ethics
BJ,BJ 1801-2195,Social usages. Etiquette,395,Etiquette (Manners)
B,BL,Religions. Mythology.,200,Religion
B,BL,Religions. Mythology.,210,Philosophy & theory of religion
B,BL,Religions. Mythology.,291 - 295,Comparative religion; Religions other than Christianity
B,BL,Religions. Mythology.,299,Other religions
B,BM,Judaism,296,Judaism
B,BP,"Islam. Bahaism. Theosophy, etc.",297,"Islam, Babism, Bahai Faith"
B,BQ,Buddhism,294.3,Buddhism
B,BR,Christianity,230 - 230.7,Christianity & Christian theology
B,BR,Christianity,270,History of Christianity
B,BS,Bible,220,The Bible
B,BT,Christian doctrinal theology,231 - 239,Christianity & Christian theology
B,BV,Practical Theology,240,Christian practice & observance
B,BV,Practical Theology,250,Christian pastoral practice & religious orders
B,BV,Practical Theology,260,"Church organization, social work & worship"
B,BX,Christian Denominations,280,Christian denominations
B,BX,Christian Denominations,305.6,Religious groups
B,BX,Christian Denominations,322.1,Religious organizations & groups
LCC,C,Auxiliary sciences of history (General),na,na
C,CB,History of civilization,909,World history
C,CC,Archaeology,930.1,Archaeology
C,CD,Diplomatics. Archives. Seals,929.1 - 929.3,Genealogy; Family histories; Genealogical sources
CD,CD 5001-6471,Diplomatics. Archives. Seals,737.6,"Engraved seals, signets, stamps"
C,CE,Technical chronology. Calendar,529 - 529.5,Chronology
C,CJ,Numismatics,737,Numismatics & sigillography
C,CN,Inscriptions. Epigraphy,411.7,Paleography
C,CR,Heraldry,929.6,Heraldry
C,CR,Heraldry,929.7,"Royal houses, peerage, gentry, orders of knighthood"
C,CS,Genealogy,929.1 - 929.4,Genealogy; Family histories; Genealogical sources
C,CT,Biography (General),920,Biography & genealogy
C,CT,Biography (General),920.1 - 920.7,Biography of specific classes of persons
