parent,child,caption
,LCC,LCC
LCC,A,General Works
A,AC,Collections. Series. Collected works
A,AE,Encyclopedias
A,AG,Dictionaries and other general reference works
A,AI,Newspapers--Indexes
A,AI,Periodicals--Indexes
A,AM,Museums. Collectors and collecting
A,AN,Newspapers
A,AP,General periodicals
A,AS,Academies and learned societies
A,AY,Yearbooks. Almanacs. Directories
A,AZ,History of scholarship and learning. The humanities
LCC,B,Philosophy
B,BC,Logic
B,BD,Speculative philosophy
B,BF,Psychology
BF,BF 1001+,Parapsychology
B,BH,Aesthetics
B,BJ,Ethics
BJ,BJ 1-1725,Ethics
BJ,BJ 1801-2195,Social usages. Etiquette
B,BL,Religions. Mythology.
B,BM,Judaism
B,BP,Islam. Bahaism. Theosophy; etc.
B,BQ,Buddhism
B,BR,Christianity
B,BS,Bible
B,BT,Christian doctrinal theology
B,BV,Practical Theology
B,BX,Christian Denominations
LCC,C,Auxiliary sciences of history (General)
C,CB,History of civilization
C,CC,Archaeology
C,CD,Diplomatics. Archives. Seals
CD,CD 5001-6471,Diplomatics. Archives. Seals
C,CE,Technical chronology. Calendar
C,CJ,Numismatics
C,CN,Inscriptions. Epigraphy
C,CR,Heraldry
C,CS,Genealogy
C,CT,Biography (General)
LCC,D,"World History and History of Europe, Asia, Africa, Australia, New Zealand, etc."
D,DU,Oceania (South Seas)
DU,DU 125,Australian aborigines
DU,DU 145,Australian Capital Territory. Canberra
DU,DU 150-180,New South Wales
DU,DU 182-198,Tasmania. Van Diemen's Land
DU,DU 1-950,Oceania (South Seas); History of
DU,DU 200-230,Victoria
DU,DU 250-280,Queensland
DU,DU 300-330,South Australia
DU,DU 350-380,Western Australia
DU,DU 390,Central Australia
DU,DU 391,Northern Australia
DU,DU 392-398,Northern Territory of Australia
DU,DU 400-430,New Zealand
DU,DU 422.8-424,Maoris
DU,DU 490,Melanesia (General)
DU,DU 620-629,Hawaiian Islands. Hawaii
DU,DU 739-747,New Guinea
DU,DU 80-398,Australia
DU,DU 810-819,Samoan Islands
D,DX,Romanies
DX,DX 101-301,Gypsies
LCC,E,America
E,E 11-143,America
E,E 31-49.2,North America
E,E 51-73,Pre-Columbian America. The Indians
