CallNumber,Author,Title,ISBN,PubName,PubYear
E 101 ABU,"Abulafia, David.",The disovery of mankind : Atlanti enounters in the age of olumbus /,0300125828;9780300125825,Yale University Press,2008
E 101 Des,"Desola, Jean.",Les onquistadors /,9782253023869;2253023868,Fayard,1954
E 101 Fir,,First Images of Ameria : the Impat of the New World on the Old /,9780520030107;0520030109,U of alifornia P,1976
E 101 Fir,,First images of Ameria : the impat of the New World on the Old /,9780520030107;0520030109,U of alifornia P,1976
E 101 GRE,"Greenblatt, Stephen, 1943-",Marvelous possessions : the wonder of the New World /,9780198123828;0198123825;9780198122661;0198122667,larendon Press,1991
E 101 Mee,,The meeting of two worlds : Europe and the Amerias 1492-1650 /,9780197261347;0197261345,OUP for the Aademy,1993
E 101 Mor,"Morison, Samuel Eliot, 1887-1976.","The European disovery of Ameria : the northern voyages, A.D. 500-1600 /",,OUP,1971
E 101 Mor,"Morison, Samuel Eliot, 1887-1976.",The great explorers : the European disovery of Ameria /,9780195023145;0195023145,OUP,1978
E 101 Nor,,"The Northmen, olumbus and abot, 985-1503.",,Barnes,1959
E 101 OSU,"O'Sullivan, Dan.","The age of disovery, 1400-1550 /",9780582353725;0582353726,Longman,1984
E 101 Ole,"Oleson, T. J.","Early voyages and northern approahes, 1000-1632 /",,Oxford UP,1964
E 101 Qui,"Quinn, David B.",North Ameria from earliest disovery to first settlements : the Norse voyages to 1612 /,9780060134587;0060134585,Harper & Row,1977
E 101 Qui,"Quinn, David B.","North Amerian disovery, ira 1000-1612 /",9780061392443;0061392448,Harper & Row,1971
E 101 Ra,,"Rae, disourse and the origin of the Amerias : a new world view /",9781560985075;1560985070,Smithsonian Institute P,1995
E 101 TUR,"Turner, Frederik W., 1937- author.",Beyond geography : the western spirit against the wilderness /,0813519098;9780813519098,Rutgers University Press,1992
E 101 Tur,"Turner, Frederik W., 1937-",Beyond geography : the western spirit against the wilderness /,9780670160983;0670160989,Viking P,1980
E 103 Fel,"Fell, Barry.",Ameria B.. : anient settlers in the New World /,9780704503274;0704503271,Wildwood House,1978
E 103 MAN,"Mann, harles .",1491 : the Amerias before olumbus /,9781862078765;1862078769,Granta,2006
E 105 Mow,"Mowat, F.",Westviking : the anient Norse in Greenland and North Ameria /,,Little Brown & o,1965
E 109 Wel,"Deaon, Rihard.",Mado and the disovery of Ameria : some new light on an old ontroveersy /,,Muller,1966
E 109 Wel,"Fadipe-Ogundugba, O. A. A. A.",Mado : the making of a myth /,9780413394507;0413394506,Eyre Methuen,1979
E 109.A35 Van,"Van Sertima, Ivan.",They ame before olumbus : the Afrian presene in anient Ameria /,9780394402451;0394402456,Random,1977
E 110 OGO,"O'Gorman, Edmundo.",The invention of Ameria : an inquiry into the historial nature of the New World and the meaning of its history /,9780837164700;0837164702,Greenwood P,1972
E 110 STA,"Stannard, David E.",Amerian holoaust : the onquest of the New World /,9780195075816;0195075811;9780195085570;0195085574,Oxford University press,1992
E 110 See,,Seeds of hange : a quinentennial ommemoration /,9781560980360;1560980362,Smithsonian Institution P,1991
E 111 Duf,"Duff, .",The truth about olumbus and the disovery of Ameria /,,Jarrolds,1957
E 111 Fer,"Ferna_ndez-Armesto, Felipe.",olumbus /,9780192852601;0192852604,OUP,1991
E 111 Irv,"Irving, Washington, 1783-1859.",The life and voyages of hristopher olumbus /,,Nelson,1897
E 111 Mor,"Morison, Samuel Eliot, 1887-1976.",Admiral of the Oean Sea : a Life of hristopher olumbus /,,Little Brown,1942
E 111 Mor,"Morison, Samuel Eliot, 1887-1976.","hristopher olumbus, mariner /",,Faber,1956
E 111 PHI,"Phillips, William D.",Worlds of hristopher olumbus /,9780521446525;052144652X,ambridge University Press,1993
E 111 Sal,"Sale, Kirkpatrik.",onquest of paradise : hristopher olumbus and the olumbian legay /,9780340533833;0340533838,Hodder and Stoughton,1990
E 111 Wil,"Wilford, John Noble.","The mysterious history of olumbus : an exploration of the man, the myth, the legay /",9780679404767;0679404767,Knopf,1991
E 111 You,"Young, F.",hristopher olumbus and the new world of his disovery /,,Rihards,1911
E 112 Bus,"Bushman, laudia L.",Ameria disovers olumbus : how an Italian explorer beame an Amerian hero /,9780874515763;0874515769,UP of New England,1992
E 118 ol,"olumbus, hristopher.","The ""diario"" of hristopher olumbus's first voyage to Ameria 1492-1493 /",9780806123844;0806123842,U of Oklahoma P,1989
E 118 ol,"olumbus, hristopher.","The four voyages of hristopher olumbus : being his own log-book, letters and dispathes with onneting narrative drawn from the Life of the Admiral by his son Hernando olon and other ontemporary historians /",,Penguin,1969
E 118 ol,"olumbus, hristopher.",The journal /,,Hakluyt Soiety,1960
E 118 Jan,"Jane, L. .",Selet douments illustrating the four voyages of olumbus.. /,,Hakluyt Soiety,1930
E 118 Jan,"Jane, L. .",Selet douments illustrating the four voyages of olumbus.. /,,Hakluyt Soiety,1933
E 118 SYM,"Symox, Geoffrey.",hristopher olumbus and the enterprise of the Indies : a brief history with douments /,9781403968074;1403968071,Palgrave Mamillan,2005
E 121 BRE,"Brebner, J. B.","The Explorers of North Ameria, 1492-1806 /",,Blak,1964
E 121 BRE,"olumbus, hristopher.",The four voyages of hristopher olumbus /,9780140442175;0140442170,Penguin,1969
E 121 Hem,"Hemming, John, 1935-",The searh for El Dorado /,9780718117542;0718117549,Mihael Joseph,1978
E 121 Lor,"Lorant, S.","The New World : the first pitures of Ameria...with ontemporary narratives of the Huguenot settlement in Florida, 1562-1565, and the Virginia olony, 1585-1590 /",,Duell,1946
