Title,ISBN
The discovery of mankind : Atlantic encounters in the age of Columbus /,0300125828;9780300125825
Les conquistadors /,9782253023869;2253023868
First Images of America : the Impact of the New World on the Old /,9780520030107;0520030109
First images of America : the impact of the New World on the Old /,9780520030107;0520030109
Marvelous possessions : the wonder of the New World /,9780198123828;0198123825;9780198122661;0198122667
The meeting of two worlds : Europe and the Americas 1492-1650 /,9780197261347;0197261345
"The European discovery of America : the northern voyages, A.D. 500-1600 /",
The great explorers : the European discovery of America /,9780195023145;0195023145
"The Northmen, Columbus and Cabot, 985-1503.",
"The age of discovery, 1400-1550 /",9780582353725;0582353726
"Early voyages and northern approaches, 1000-1632 /",
North America from earliest discovery to first settlements : the Norse voyages to 1612 /,9780060134587;0060134585
"North American discovery, circa 1000-1612 /",9780061392443;0061392448
"Race, discourse and the origin of the Americas : a new world view /",9781560985075;1560985070
Beyond geography : the western spirit against the wilderness /,0813519098;9780813519098
Beyond geography : the western spirit against the wilderness /,9780670160983;0670160989
America B.C. : ancient settlers in the New World /,9780704503274;0704503271
1491 : the Americas before Columbus /,9781862078765;1862078769
Westviking : the ancient Norse in Greenland and North America /,
Madoc and the discovery of America : some new light on an old controveersy /,
Madoc : the making of a myth /,9780413394507;0413394506
They came before Columbus : the African presence in ancient America /,9780394402451;0394402456
The invention of America : an inquiry into the historical nature of the New World and the meaning of its history /,9780837164700;0837164702
American holocaust : the conquest of the New World /,9780195075816;0195075811;9780195085570;0195085574
Seeds of change : a quincentennial commemoration /,9781560980360;1560980362
The truth about Columbus and the discovery of America /,
Columbus /,9780192852601;0192852604
The life and voyages of Christopher Columbus /,
Admiral of the Ocean Sea : a Life of Christopher Columbus /,
"Christopher Columbus, mariner /",
Worlds of Christopher Columbus /,9780521446525;052144652X
Conquest of paradise : Christopher Columbus and the Columbian legacy /,9780340533833;0340533838
"The mysterious history of Columbus : an exploration of the man, the myth, the legacy /",9780679404767;0679404767
Christopher Columbus and the new world of his discovery /,
America discovers Columbus : how an Italian explorer became an American hero /,9780874515763;0874515769
"The ""diario"" of Christopher Columbus's first voyage to America 1492-1493 /",9780806123844;0806123842
"The four voyages of Christopher Columbus : being his own log-book, letters and dispatches with connecting narrative drawn from the Life of the Admiral by his son Hernando Colon and other contemporary historians /",
The journal /,
Select documents illustrating the four voyages of Columbus.. /,
Select documents illustrating the four voyages of Columbus.. /,
Christopher Columbus and the enterprise of the Indies : a brief history with documents /,9781403968074;1403968071
"The Explorers of North America, 1492-1806 /",
The four voyages of Christopher Columbus /,9780140442175;0140442170
The search for El Dorado /,9780718117542;0718117549
"The New World : the first pictures of America...with contemporary narratives of the Huguenot settlement in Florida, 1562-1565, and the Virginia colony, 1585-1590 /",
"The European discovery of America : the southern voyages, A.D.1492-1616 /",
The discovery of South America /,9780236176755;0236176757
Sixteenth century North America : the land and the people as seen by the Europeans /,9780520018549;0520018540
"Ceremonies of possession in Europe's conquest of the New World, 1492-1640 /",9780521497572;0521497574
Columbus then and now : a life reexamined /,9780806129341;0806129344
Nature in the New World : from Christopher Colombus to Gonzalo Fernandez de Oviedo /,9780822935162;0822935163
Spain in America /,
The Spanish conquistadores /,
