CallNumber,Author,Title,ISBN,PubName,PubYear
JA 000 ALE,"Alexander, Titus, author.",Practical politics : lessons in power and democracy /,9781858567846; 185856784X,Trentham Books,2016
JA 000 ARG,,The argumentative turn in policy analysis and planning /,9780822313724; 0822313723; 9780822313540; 0822313545,Duke University Press,1993
JA 000 BAL,"Ball, Alan R.",Modern politics and government.,9780333961605; 0333961609; 9780333961612; 0333961617,Palgrave Macmillan,2005
JA 000 BEC,"Beck, Ulrich, 1944-",The reinvention of politics : rethinking modernity in the global social order /,9780745613666; 0745613667; 9780745617589; 0745617581,Polity,1997
JA 000 BES,"Best, Shaun.",Introduction to politics and society /,9780761971313; 0761971319; 9780761971306; 0761971300,SAGE,2002
JA 000 BLA,"Blackstone, William T.",Political philosophy : an introduction /,9780690646337; 069064633X,Crowell,1973
JA 000 BUE,"Buehrig, Edward H. 1910- (Edward Henry),",Essays in political science /,,Indiana University Press,1966
JA 000 Bal,"Ball, Alan R.",Modern politics and government /,9780333737477; 0333737474,Macmillan,2000
JA 000 Bar,"Barry, Brian M.",Political argument /,9780745009063; 0745009069,Harvester Wheatsheaf,1990
JA 000 Blo,"Blondel, Jean, 1929-",The Discipline of Politics /,9780408106818; 0408106816,Butterworths,1981
JA 000 CHR,"Christman, John Philip",Social and political philosophy : a contemporary introduction /,9780415217972; 0415217970; 9780415217989; 0415217989,Routledge,2002
JA 000 COA,"Coakley, John.","History of the International Political Science Association, 1949-1999 /",9781902277288; 1902277287,International Political Science Association,2000
JA 000 COL,"Cole, G. D. H. 1889-1959. (George Douglas Howard),",Some relations between political and economic theory /,,Macmillan,1934
JA 000 COL,"Cole, G. D. H. 1889-1959. (George Douglas Howard),",Theories and forms of political organisation /,,V Gollancz ltd,1932
JA 000 COR,"Cornford, Francis Macdonald, 1874-1943.",Microcosmographia academica : being a guide for the young academic politician /,,Bowes and Bowes,1964
JA 000 CRI,"Crick, Bernard, 1929-2008 author.",In defence of politics /,9780826487513; 0826487513,Continuum,2000
JA 000 Cat,"Catlin, George Edward Gordon, Sir, 1896-",The science and method of politics /,,Kegan Paul,1927
JA 000 Con,"Connolly, William E.",The terms of political discourse /,9780631189596; 0631189599,Blackwell,1993
JA 000 Con,"Connolly, William E.",The terms of political discourse /,9780855206000; 0855206004,Robertson,1983
JA 000 Cri,"Crick, Bernard, 1929-2008.",In defence of politics /,9780297820840; 0297820842,Weidenfeld,1992
JA 000 Cri,"Crick, Bernard, 1929-2008.",What is politics /,9780713165043; 0713165049,Arnold,1987
JA 000 DIA,,Dialectics in world politics /,9780415625272; 0415625270,Routledge,2015
JA 000 Dah,"Dahl, Robert A., 1915-2014.",Readings in modern political analysis /,,Prentice-Hall,1968
JA 000 Dev,,The development of political science : a comparative survey /,9780415056236; 0415056233,Routledge,1991
JA 000 Dha,"Dhawan, G. N. (Gopi Nath)",Politics of persuasion : essays written in memory of Dr G.P. Dhawan /,,Manaktalas,1967
JA 000 Duv,"Duverger, Maurice, 1917-2014.",Institutions politiques et droit constitutionnel /,,PUF,1973
JA 000 Duv,"Duverger, Maurice, 1917-2014.",The study of politics /,9780177110986; 0177110988,Nelson,1972
JA 000 EDE,"Edelman, Murray J. 1919-2001 (Murray Jacob),",The symbolic uses of politics /,9780252012020; 025201202X,University of Illinois Press,1985
JA 000 EDE,"Edelman, Murray J. 1919-2001. (Murray Jacob),",The symbolic uses of politics /,,University of Illinois Press,1964
JA 000 ENC,,Encyclopedia of government and politics.,0415276225; 9780415276221; 0415276233; 9780415276238,Routledge,2004
JA 000 ENC,,Encyclopedia of government and politics.,0415276225; 9780415276221; 0415276241; 9780415276245,Routledge,2004
JA 000 Ell,"Ellul, Jacques.",The political illusion /,,Knopf,1967
JA 000 Enc,,Encyclopedia of government and politics.,9780415072243; 0415072247,Routledge,1992
JA 000 Enc,,Encyclopedia of government and politics.,9780415072250; 0415072255,Routledge,1992
JA 000 FAR,,Approaches to comparative and international politics /,,Northwestern University Press,1966
JA 000 FEI,"Feinberg, Joel, 1926-",Social philosophy.,9780138172626; 0138172625; 9780138172541; 0138172544,Prentice-Hall,1973
JA 000 FLA,"Flathman, Richard E.",Concepts in social & political philosophy /,,Macmillan,1973
JA 000 FUT,,The future of political science : 100 perspectives /,0415997003; 9780415997003; 0415997011; 9780415997010,Routledge,2009
JA 000 GAR,,Political research and political theory : essays in memory of Prof. V. O. Key Jr. /,,Harvard University Press,1968
JA 000 GRE,"Gregor, A. James 1929- (Anthony James),",An introduction to metapolitics : a brief inquiry into the conceptual language of political science /,,Free Press,1971
JA 000 HAY,"Hay, Colin, 1968-",Why we hate politics /,0745630987; 9780745630984; 0745630995; 9780745630991,Polity,2007
JA 000 HAY,"Hay, Colin, 1968- author.",Political analysis /,9780333750025; 0333750020; 9780333750032; 0333750039,Palgrave,2002
JA 000 HUT,"Hutchings, Kimberly, 1960-",Time and world politics : thinking the present /,0719073022; 9780719073021,Manchester University Press,2008
JA 000 Han,,Handbook of political science /,9780201026016; 0201026015,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026023; 0201026023,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026030; 0201026031,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026047; 020102604X,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026054; 0201026058,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026061; 0201026066,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026078; 0201026074,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026085; 0201026082,Addison-Wesley,1975
JA 000 Han,,Handbook of political science /,9780201026092; 0201026090,Addison-Wesley,1975
JA 000 Hey,"Heywood, Andrew.",Politics /,9780333986295; 0333986296; 9780333971314; 0333971310,Palgrave,2002
JA 000 Int,,Interpreting politics /,9780631157779; 0631157778,Blackwell,1987
JA 000 JOA,"Joad, C. E. M. 1891-1953. (Cyril Edwin Mitchinson),",Guide to the philosophy of morals and politics /,,V Gollancz,1938
JA 000 Joh,"Johnson, Nevil.",The limits of political science /,9780198273417; 019827341X,Clarendon P,1989
JA 000 Joh,"Johnston, Larry, 1955-",Politics : an introduction to the modern democratic state /,9781551113692; 1551113694,Broadview Press,2001
JA 000 Jou,"Jouvenel, Bertrand de, 1903-",The Pure Theory of Politics /,,CUP,1963
JA 000 KUZ,"Kuzminski, Adrian, 1944-","Fixing the system : a history of populism, ancient and modern /",0826429599; 9780826429599; 0826429602; 9780826429605,Continuum,2008
JA 000 Kap,"Kaplan, Morton A.",On freedom and human dignity : the importance of the sacred in politics /,,General Learning P,1973
JA 000 LAN,"Landman, Todd.",Issues and methods in comparative politics : an introduction /,0415412366; 9780415412360; 0415412374; 9780415412377,Routledge,2008
JA 000 LAN,"Landman, Todd.",Issues and methods in comparative politics : an introduction /,9780415272698; 0415272696; 9780415272704; 041527270X,Routledge,2003
JA 000 LAP,"Laponce, J. A.",Left and right : the topography of political perceptions /,9780802055330; 0802055338,University of Toronto Press,1981
JA 000 LIP,"Lipset, Seymour Martin.",Politics and the social sciences /,,Oxford University Press,1969
JA 000 Las,"Laski, Harold J. 1893-1950. (Harold Joseph),",A grammar of politics /,,Allen & Unwin,1938
JA 000 Las,"Laski, Harold J. 1893-1950. (Harold Joseph),",An introduction to politics /,,Allen & Unwin,1951
JA 000 Las,"Laski, Harold J. 1893-1950. (Harold Joseph),","The danger of being a gentleman, and other essays /",,Allen and Unwin,1939
JA 000 Las,"Lasswell, Harold D. 1902-1978. (Harold Dwight),",Language of politics : studies in quantitative semantics /,,MIT Press,1965
JA 000 Law,"Lawson, Kay.",The human polity : a comparative introduction to political science /,9780618043644; 0618043640,Houghton Mifflin Co,2003
JA 000 Lip,"Lipson, L.",What is political science /,,Victoria University College,1939
JA 000 MAB,"Mabbott, J. D. (John David)","The state and the citizen : an introduction to political philosophy,",,Hutchinson,1967
JA 000 MCP,"McPherson, Thomas.",Political obligation.,9780710051226; 0710051220; 9780710051219; 0710051212,Routledge & Kegan Paul,1967
JA 000 MOU,"Mount, Ferdinand, 1939-",The theatre of politics.,029799518X; 0297995189; 9780297995180,Weidenfeld and Nicolson,1972
JA 000 Mer,"Merkl, Peter H. (Peter Hans)",Modern comparative politics /,,Holt Rinehart & Winston,1970
JA 000 Mey,"Meynaud, Jean, 1914-1972.",Introduction a la science politique /,,Colin,1961
JA 000 Mil,"Miller, J. D. B. 1922- (John Donald Bruce),",The nature of politics /,,Duckworth,1962
JA 000 Mil,"Milne, A. J. M. 1922- (Alan John Mitchell),",Politics and controversy /,,U of Durham,1977
JA 000 Mul,"Mulgan, Geoff.",Politics in an antipolitical age /,9780745608136; 0745608132,Polity P,1994
JA 000 NEW,,A new handbook of political science /,9780198280156; 0198280157; 9780198294719; 0198294719,Oxford University Press,1996
JA 000 NON,,Nongovernmental politics /,1890951757; 9781890951757; 1890951749; 9781890951740,Distributed by MIT Press; Zone Books,2007
JA 000 NOR,"Norton, Anne, author","95 theses on politics, culture, and method /",9780300100112; 0300100116,Yale University Press,2004
JA 000 Nat,,The nature of political theory /,9780198274414; 0198274416,Clarendon P,1983
JA 000 OXF,,The Oxford handbook of political science /,0199562954; 9780199562954,Oxford University Press,2009
JA 000 POL,,Political innovation and conceptual change /,9780521351904; 0521351901; 9780521359788; 0521359783,Cambridge University Press,1989
JA 000 POL,,Political science : the state of the discipline /,9780393051421; 0393051420,W W Norton,2002
JA 000 POL,,The politics companion /,9781861057969; 1861057962,Robson,2004
JA 000 POL,"Pollock, Philip H., III, author.",A Stata companion to political analysis /,1506379702; 9781506379708,SAGE/CQ Press,2019
JA 000 Pic,"Pickles, Dorothy Maud.",Introduction to politics /,,Sylvan P,1951
JA 000 Pol,,"Political economy : institutions, competition and representation : proceedings... /",9780521417815; 0521417813,CUP,1993
JA 000 Pol,,Political science : an introduction /,9780136815600; 013681560X,Prentice-Hall,1991
JA 000 Pol,,Politics : an introduction /,9780415110747; 0415110742,Routledge,1997
JA 000 Pol,,Politics at the edge : the PSA yearbook 1999 /,9780333779033; 0333779037; 9780333915622; 0333915623,Macmillan,2000
JA 000 Pon,"Ponton, Geoffrey.",Introduction to politics /,9780631187844; 0631187847,Blackwell,1993
JA 000 Pon,"Ponton, Geoffrey.",Introduction to politics /,9780855204662; 0855204664,Robertson,1982
JA 000 RAN,"Ranney, Austin.",Governing : a brief introduction to political science.,9780030853104; 0030853109,Holt Rinehart and Winston,1971
JA 000 Rap,"Raphael, D. D. 1916-2015. (David Daiches),",Political Theory and the Rights of Man /,,Macmillan,1967
JA 000 Ric,"Ricci, David M.",The tragedy of political science /,9780300030884; 0300030886,Yale UP,1984
JA 000 SEL,"Seliger, Martin.",Ideology and politics /,9780043201091; 0043201091; 9780043201107; 0043201105,Allen & Unwin,1976
JA 000 SHE,"Shepsle, Kenneth A., author.","Analyzing politics : rationality, behavior, and institutions /",9780393935073; 0393935078,WW Norton,2010
JA 000 SHI,"Shively, W. Phillips, 1942-",Power and choice : an introduction to political science /,9780073278902; 0073278904,McGraw Hill Higher Education,2006
JA 000 See,"Seeley, J. R.",Introduction to political science : two series of lectures /,,Macmillan,1896
JA 000 She,"Shepsle, Kenneth A.","Analyzing politics : rationality, behavior, and institutions /",9780393971071; 0393971074,WW Norton,1997
JA 000 Ste,"Stevenson, T. H.",Politics and government /,,Littlefield,1973
JA 000 THE,,Theory and methods in political science /,9780230576261; 0230576265; 9780230576278; 0230576273,Palgrave Macmillan,2010
JA 000 THE,,Theory and methods in political science /,9780333614617; 0333614615; 9780312127626; 0312127626,Macmillan,1995
JA 000 THE,,Theory and methods in political science /,9780333948569; 0333948564; 9780333948552; 0333948556,Palgrave Macmillan,2002
JA 000 THE,,Theory and methods in political science /,9781137603517; 1137603518; 9781137603524; 1137603526,Palgrave Macmillan,2018
JA 000 Tan,"Tansey, Stephen D.",Politics : the basics /,9780415191982; 041519198X,Routledge,2000
JA 000 Til,"Tillett, P.",The political vocation /,,Basic Books,1965
JA 000 Ung,"Unger, Roberto Mangabeira.",Knowledge and politics /,9780029328408; 0029328403,Free P,1975
JA 000 VOE,"Voegelin, Eric, 1901-1985.",The new science of politics : an introduction.,,University of Chicago Press,1952
JA 000 WEL,"Weldon, T. D. (Thomas Dewar)",The vocabulary of politics : an enquiry into the use and abuse of language in the making of political theories. /,,Johnson Reprint Co,1970
JA 000 WHA,,What is politics : the activity and its study /,9780745630557; 0745630553; 9780745630564; 0745630561,Polity,2004
JA 000 Wha,,What is politics : the activity and its study /,9780631134862; 0631134867,Blackwell,1984
JA 10 Arg,,"Argument-reprint, 1-17.",9783920037059; 3920037057,Argument,1974
JA 10 POL,,International encyclopedia of political science.,1412959632; 9781412959636,SAGE,2011
JA 10 Pol,"Robson, W. A.",The Political Quarterly in the thirties /,,Allen Lane,1971
JA 100 ALM,"Almond, Gabriel A. 1911-2002. (Gabriel Abraham),",A discipline divided : schools and sects in political science /,9780803933019; 0803933010; 9780803933026; 0803933029,Sage Publications,1990
JA 100 AME,American Political Science Association. Committee for the Advancement of Teaching.,Goals for political science.,,Sloane,1951
JA 100 Bar,"Barents, J.",Political science in Western Europe : a trend report /,,Stevens,1961
JA 100 Bea,"Bealey, Frank.",Elements in political science /,9780748611973; 0748611975,Edinburgh UP,1999
JA 100 Com,,Comparative European politics : the story of a profession /,9781855673991; 1855673991,Pinter,1997
JA 100 Cri,"Crick, Bernard, 1929-2008.",The American science of politics : its origins and conditions /,,Routledge,1959
JA 100 EAS,"Easton, David, 1917-",The political system : an inquiry into the state of political science.,,Knopf,1953
JA 100 Eth,"Ethridge, Marcus E.",The political research experience : readings and analysis /,9780873325189; 0873325184,MESharpe,1990
JA 100 HAL,"Halperin, Sandra author.",Political research : methods and practical skills /,0198702744; 9780198702740,Oxford University Press,2017
JA 100 HAL,"Halperin, Sandra, author.",Political research : methods and practical skills /,9780198820628; 0198820623,Oxford University Press,2020
JA 100 HAL,"Halperin, Sandra.",Political research : methods and practical skills /,0199558418; 9780199558414,Oxford University Press,2012
JA 100 KEL,"Kellstedt, Paul M., 1968- author.",A Stata companion for the third edition of the Fundamentals of political science research /,1108447961; 9781108447966,Cambridge University Press,2020
JA 100 Min,"Minkin, Lewis.",Exits and entrances : political research as a creative art /,9780863396366; 0863396364,Sheffield Hallam UP,1997
JA 100 NEW,,New directions in political science : responding to the challenges of an interdependent world /,0230228488; 9780230228481; 0230228496; 9780230228498,Palgrave Macmillan,2010
JA 100 PRO,,Problems and methods in the study of politics /,9780521831741; 0521831741; 9780521539432; 0521539439,Cambridge University Press,2004
JA 100 Pol,,Political science : the state of the discipline /,9781878147080; 1878147080,American Political Science Assoc,1993
JA 100 SHI,"Shilliam, Robbie, 1969- author.",Decolonizing politics : an introduction /,1509539387; 9781509539383; 1509539395; 9781509539390,Polity Press,2021
JA 100 SOM,"Somit, Albert.",American political science : a profile of a discipline /,,Atherton Press,1964
JA 100 Sto,"Stone, Diane.",Capturing the political imagination : think tanks and the policy process /,9780714642635; 0714642630,Frank Cass,1996
JA 100 Sur,,A survey of research in political science.,,Allied Publishers,1981
JA 100 WAR,,Studying politics abroad : field research in the developing areas /,,Little Brown,1964
JA 200 ALK,"Alker, Hayward R.",Mathematics and politics /,,Collier-Macmillan,1965
JA 200 AUS,"Austen-Smith, David.",Positive political theory I : collective preference /,9780472104802; 0472104802,University of Michigan Press,1999
JA 200 BEA,"Beach, Derek.",Process-tracing methods : foundations and guidelines /,0472071890; 9780472071890; 047205189X; 9780472051892,University of Michegan press,2012
JA 200 BEN,"Bennett, Scott, 1948-",The quantitative approach in political science : an introduction /,9780889462052; 0889462054,Edwin Mellen,1986
JA 200 BLA,"Blatter, Joachim, 1966- author.",Designing case studies : explanatory approaches in small-n research /,9780230249691; 0230249698,Palgrave Macmillan,2012
JA 200 Bra,"Brams, S. J.",Game theory and politics /,9780029045503; 0029045509,Free P,1975
JA 200 CAM,,Cambridge handbook of experimental political science /,0521174554; 9780521174558; 0521192129; 9780521192125,Cambridge University Press,2011
JA 200 COL,"Collier, Paul.","Wars, guns, and votes : democracy in dangerous places /",0061479632; 9780061479632,Harper,2009
JA 200 Cha,"Champney, Leonard.",Introduction to quantitative political science /,9780065010329; 0065010329,HarperCollins College Publishers,1995
JA 200 Cio,"Cioffi-Revilla, Claudio.","Politics and uncertainty : theory, models and applications /",9780521589154; 0521589150,CUP,1998
JA 200 Col,"Collingridge, D.",Critical Decision Making : a New Theory of Social Choice /,9780861872381; 086187238X,Pinter,1982
JA 200 Eck,"Eckstein, H.",Patterns of authority : a structural basis for political inquiry /,9780471230762; 0471230766,Wiley-Interscience,1975
JA 200 Eul,"Eulau, Heinz, 1915-",Political science /,,Prentice-Hall,1969
JA 200 Exp,,Experimental foundations of political science /,9780472102730; 0472102737,U of Michigan P,1993
JA 200 FOU,,"Foundation of political science : research, methods, and scope /",9780029106709; 0029106702,Free Press,1977
JA 200 FRO,"Frohock, Fred M.",The nature of political inquiry /,,Dorsey Press,1967
JA 200 GAM,,Game theory and political science /,9780814761564; 0814761569,Published for the Center for Applied Economics New York University by New York University Press,1978
JA 200 GER,"Gerber, Alan S. author.","Field experiments : design, analysis, and interpretation /",0393979954; 9780393979954,WW Norton,2012
JA 200 Gol,"Golembiewski, Robert T.",A methodological primer for political scientists /,,Rand McNally,1969
JA 200 Gre,"Green, Donald P., 1961-",Pathologies of rational choice theory : a critique of applications in political science /,9780300059144; 0300059140,Yale UP,1994
JA 200 HAY,,The conduct of political inquiry : behavioral political analysis. /,9780131673045; 0131673041,Prentice-Hall,1970
JA 200 Har,"Hardin, Russell, 1940-",Collective action /,9780801828195; 0801828198,Johns Hopkins UP,1982
JA 200 Har,"Harrison, Lisa.",Political research : an introduction /,9780415226554; 0415226554; 9780415226561; 0415226562,Routledge,2001
JA 200 Hec,"Heckscher, Gunnar.",The study of comparative government and politics /,,Allen & Unwin,1957
JA 200 INT,,Interpretation and method : empirical research methods and the interpretive turn /,9780765635396; 0765635399; 9780765635402; 0765635402,ME Sharp Inc,2014
JA 200 Int,,Interpreting the political : new methodologies /,9780415131957; 0415131952,Routledge,1997
JA 200 JOH,"Johnson, Janet Buttolph, 1950-",Political science research methods /,1608716899; 9781608716890,CQ Press,2012
JA 200 JOH,"Johnson, Janet Buttolph, 1950-",Political science research methods /,9781568023298; 1568023294,CQ Press,2001
JA 200 JON,"Jones, E. Terrence 1941- (Endsley Terrence),",Conducting political research /,9780060434281; 0060434287,Harper & Row,1971
JA 200 KEL,"Kellstedt, Paul M., 1968-",The fundamentals of political science research /,052187517X; 9780521875172; 0521697883; 9780521697880,Cambridge University Press,2009
JA 200 KEL,"Kellstedt, Paul M., 1968- author.",The fundamentals of political science research /,9781107621664; 1107621666,Cambridge University Press,2013
JA 200 KEL,"Kellstedt, Paul M., 1968- author.",The fundamentals of political science research /,9781316642672; 1316642674,Cambridge University Press,2018
JA 200 Kum,"Kumar, G.","Politics, international relations and law : scope, methodology and classification /",,Asia Publishing House,1965
JA 200 Lav,"Laver, Michael, 1949-",Social choice and public policy /,9780631146933; 0631146938,Blackwell,1986
JA 200 MAC,"MacRae, Duncan.",Issues and parties in legislative voting : methods of statistical analysis.,,Harper & Row,1970
JA 200 MCC,,Apolitical politics : a critique of behavioralism. /,,Crowell,1967
JA 200 MCC,"McClosky, Herbert.",Political inquiry : the nature and uses of survey research.,,Macmillan,1969
JA 200 MET,,"The methodology of comparative research : a symposium from the Center for Comparative Studies in Technological Development and Social Change and the Department of Political Science, University of Minnesota. /",,Free Press,1970
JA 200 MOR,"Morton, Rebecca B.",Methods and models : a guide to the empirical analysis of formal models in political science /,9780521633949; 052163394X; 9780521633000; 0521633001,Cambridge University Press,1999
JA 200 MOR,"Morton, Rebecca B., 1954-",Experimental political science and the study of causality : from nature to the lab /,0521199662; 9780521199667; 0521136482; 9780521136488,Cambridge University Press,2010
JA 200 Mac,"MacRae, Duncan.",Policy analysis for public decisions /,9780819148353; 0819148350,UP of America,1985
JA 200 Man,"Manheim, Jarol B.",Empirical political analysis : research methods in political science /,9780582285903; 0582285909,Longman,1986
JA 200 Man,"Manheim, Jarol B.",Empirical political analysis : research methods in political science /,9780801313073; 0801313074,Longman,1995
JA 200 Mer,"Merritt, Richard L. 1933- (Richard Lawrence),",Comparing Nations : the Use of Quantitative Data in Cross-National Research /,,Yale UP,1966
JA 200 Mer,"Merritt, Richard L. 1933- (Richard Lawrence),","Science, politics and international conferences : a functional analysis of the Moscow Political Science Congress /",9781555871345; 1555871348,Rienner,1989
JA 200 Met,,"Methods for political inquiry : the discipline, philosophy and analysis of politics /",9780136755623; 0136755623,Prentice Hall,1999
JA 200 Nor,"North, R. C.",Content analysis : a handbook with applications for the study of international crisis /,,Northwestern UP,1963
JA 200 Nur,"Nurmi, Hannu.","Rational behaviour and the design of institutions : concepts, theories and models /",9781858988047; 1858988047,Edward Elgar,1998
JA 200 OXF,,The Oxford handbook of political methodology /,9780199286546; 019928654X; 9780199585564; 0199585563,Oxford University Press,2008
JA 200 Ord,"Ordeshook, Peter C., 1942-",A political theory primer /,9780415902410; 041590241X,Routledge,1992
JA 200 Ord,"Ordeshook, Peter C., 1942-",Game theory and political theory : an introduction /,9780521315937; 052131593X,CUP,1986
JA 200 PEN,"Pennings, Paul.",Doing research in political science : an introduction to comparative methods and statistics /,9780761951025; 0761951024; 9780761951032; 0761951032,SAGE,1999
JA 200 POL,"Pollock, Philip H., III",An SPSS companion to political analysis /,9781568029962; 1568029969,CQ Press,2005
JA 200 POL,"Pollock, Philip H., III, author.",The essentials of political analysis /,1506305830; 9781506305837,SAGE,2016
JA 200 POL,"Pollock, Philip H., III, author.",The essentials of political analysis /,1506379613; 9781506379616,CQ Press an imprint of SAGE,2020
JA 200 PRO,,Process tracing : from metaphor to analytic tool /,1107044529; 9781107044524; 1107686377; 9781107686373,Cambridge University Press,2015
JA 200 Pol,,Political analysis : an annual publication... /,9780472102266; 0472102265,U of Michigan P,1991
JA 200 RES,,Research methods in politics /,0230019846; 9780230019843; 0230019854; 9780230019850,Palgrave Macmillan,2008
JA 200 RES,,Research methods in politics /,9780333962541; 0333962540; 9780333962534; 0333962532,Palgrave,2004
JA 200 RIK,"Riker, William H.",The study of local politics : a manual /,,Random House,1959
JA 200 Rae,"Rae, Douglas W.",Analysis of political cleavages /,,Yale UP,1970
JA 200 Rat,,The rational choice controversy : economic models of politics reconsidered /,9780300068214; 0300068212,Yale University Press,1996
JA 200 Ric,"Rice, S. A.",Quantitative methods in politics /,,Russell,1969
JA 200 SAV,"Savigny, Heather, author.",Doing political science and international relations : theories in action /,9780230245860; 0230245862; 9780230245877; 0230245870,Palgrave Macmillan,2011
JA 200 SCI,,"Science, technology, and art in international relations /",113866894X; 9781138668942; 1138668974; 9781138668973,Routledge,2019
JA 200 SID,"Sidjanski, Dusan.","Political decision-making processes : studies in national, comparative and international politics /",9780444410894; 0444410899,Elsevier Scientific Pub Company,1973
JA 200 STE,"Steinbruner, John D., 1941-",The cybernetic theory of decision : new dimensions of political analysis /,9780691075594; 069107559X,Princeton University Press,1974
JA 200 STR,"Stretton, Hugh.",The political sciences : general principles of selection in social science and history.,9780710061775; 0710061773,Routledge & K Paul,1969
JA 200 STR,"Strickland, Donald A.",A primer of political analysis /,,Markham Pub Company,1968
JA 200 Sch,"Schuessler, Alexander A., 1965-",A logic of expressive choice /,9780691006611; 069100661X; 9780691006628; 0691006628,Princeton University Press,2000
JA 200 Str,,Structure of decision : the cognitive maps of political elites /,9780691100500; 0691100500,Princeton UP,1976
JA 200 TAY,"Taylor, Alan D., 1947-","Mathematics and politics : strategy, voting, power, and proof /",0387776435; 9780387776439,Springer,2008
JA 200 TAY,"Taylor, Alan D., 1947-",Social choice and the mathematics of manipulation /,9780521008839; 0521008832; 9780521810524; 0521810523,Cambridge University Press,2003
JA 200 Tay,"Taylor, Alan D., 1947-","Mathematics and politics : strategy, voting, power and proof /",9780387945002; 0387945008,Springer,1995
JA 200 Tul,"Tullock, Gordon.",Toward a mathematics of politics /,,U of Michigan P,1967
JA 200 Van,"Van Evera, Stephen.",Guide to methods for students of political science /,9780801484575; 080148457X,Cornell University Press,1997
JA 200 Ved,"Vedung, Evert.",Political reasoning /,9780803918153; 0803918151,Sage,1982
JA 200 Zuc,"Zuckerman, Alan S., 1945-",Doing political science : an introduction to political analysis /,9780813310039; 0813310032,Westview,1991
JA 210 BAR,"Barry, Brian M.","Sociologists, economists and democracy /",9780029723500; 0029723507; 9780029723609; 0029723604,Collier-Macmillan,1970
JA 210 BAR,"Barry, Brian M.","Sociologists, economists, and democracy /",9780226038247; 0226038246,UnivChicago P,1988
JA 400 And,"Anderson, Ewan W.",An atlas of world political flashpoints : a sourcebook of geopolitical crisis /,9781855670532; 1855670534,Pinter,1993
JA 400 BEA,"Bealey, Frank.",The Blackwell dictionary of political science : a user's guide to its terms /,9780631206941; 0631206949; 9780631206958; 0631206957,Blackwell,1999
JA 400 BLA,,The Blackwell encyclopaedia of political thought /,0631179445; 9780631179443,Blackwell,1991
JA 400 Ber,"Berardi, Roberto, 1924-",Dizionario di termini storici politici ed economici moderni /,,Le Monnier,1976
JA 400 Bid,"Bidwell, Robin Leonard",Bidwell's guide to government ministers /,,Cass,1973
JA 400 Bid,"Bidwell, Robin Leonard",Bidwell's guide to government ministers /,9780714630175; 0714630179,Cass,1974
JA 400 Bla,,The Blackwell encyclopaedia of political institutions /,9780631138419; 0631138412,Blackwell,1987
JA 400 Bla,,The Blackwell encyclopaedia of political thought /,9780631140115; 0631140115,Blackwell,1987
JA 400 COL,"Collin, P. H. 1935- (Peter Hodgson),",Dictionary of government and politics /,9780948549892; 0948549890,Peter Collin Publishing,2000
