Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
2 1/2-D Treemap,thumbs100png/Turo1992.png,2D,Contained,Tightly Nested / Stacked,Shape-based,Rectangle,
2D Beamtree,thumbs100png/Ham2002_1.png,2D,Overlap,Adjoined by a side,Angle-based,,
2D Contour Map,thumbs100png/Kubota2006_1.png,2D,Contained,Loosely packed,Shape-based,Curve,
2D Icicle Plot,thumbs100png/Kruskal1983_1.png,2D,Adjacent,Adjoined by a side,Linear,,Top-down
3-Dimensional Phylogeny Layout,thumbs100png/Kim2007.png,3D,Node-link,,Linear,Phylogeny,
3D Beamtree,thumbs100png/Ham2002_2.png,3D,Overlap,Adjoined by a side,Angle-based,,
3D Carousel Tree,thumbs100png/Cao2013.png,3D,Adjacent,Ajacent to each other,Radial,,
3D Cone Tree Layout,thumbs100png/Nadeau2008.png,3D,Node-link,,Shape-based,Cone,
3D Contour Map,thumbs100png/Kubota2006_2.png,3D,Contained,Loosely packed / stacked,Shape-based,Geo,
3D Fractal Representation,thumbs100png/Meier1996.png,3D,Overlap,Adjoined by a side,Angle-based,,
3D Grid Embedding,thumbs100png/Bein2000.png,3D,Node-link,,Angle-based,,
3D Hierarchical Data Representation,thumbs100png/Theisen2001.png,3D,Node-link,,Linear,,Top-down
3D Icicle Plot,thumbs100png/Kruskal1983_2.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
3D Information Landscape,thumbs100png/Tesler1992.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
3D Nested Cylinders and Spheres,thumbs100png/Wang2006.png,3D,Contained,Tightly nested,Shape-based,Circle,
3D Nested Treemap,thumbs100png/Churcher1999.png,3D,Contained,Tightly nested,Shape-based,Rectangle,
3D Polar Steptree,thumbs100png/Schulz2011_2.png,3D,Contained,Tightly nested / Stacked,Shape-based,Cylinder,
3D Polar Treemap (Cylinder),thumbs100png/Schulz2011_5.png,3D,Contained,Tightly nested / Stacked,Shape-based,Cylinder,
3D Polar Treemap (Sphere),thumbs100png/Schulz2011_4.png,3D,Contained,Tightly nested / Stacked,Shape-based,Sphere,
3D Sunburst (Cylinder),thumbs100png/Schedl2007.png,3D,Adjacent,Adjoined by a side,Radial,,
3D Sunburst (Sphere),thumbs100png/Schulz2011_3.png,3D,Adjacent,Adjoined by a side,Shape-based,Sphere,
3D Sunburst (Wheel),thumbs100png/Schulz2011_1.png,3D,Adjacent,Adjoined by a side / Stacked,Shape-based,Cylinder,
3D Treemap,thumbs100png/Johnson1993_3.png,3D,Contained,Loosely packed / Stacked,Shape-based,Cube,
3D-Treemap,thumbs100png/Liggesmeyer2009.png,3D,Contained,Tightly nested,Shape-based,Rectangle,
Acacia Tree,thumbs100png/Burch2020_2.png,3D,Adjacent,Adjoined by a side,Balloon,,
Accordion Drawing,thumbs100png/Munzner2003.png,2D,Node-link,,Linear,,Left-right
AdaptiviTree,thumbs100png/Tan2007.png,2D,Node-link,,Linear,,Right-left/Left-right
Adjacency-preserving Spatial Treemaps,thumbs100png/Buchin2011.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Aggregate Tree Map,thumbs100png/Chuah1998_1.png,2D,Adjacent,Adjoined by a side,Radial,,
Angular Treemap,thumbs100png/Liang2012.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Archimedean Spiral Layout,thumbs100png/Eppstein2009.png,2D,Node-link,,Radial,,
Balanced Partition Treemap,thumbs100png/Feng2019.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Balloon Drawing,thumbs100png/Lin2005.png,2D,Node-link,,Radial,,
Balloon Treemap,thumbs100png/Viegas2013.png,2D,Contained,Loosely packed,Shape-based,Circle,
BaobabView,thumbs100png/Elzen2011.png,2D,Node-link,,Linear,,
