product_desc,parent,child
root,,root
Collectibles,root,Collectibles
Crafts,root,Crafts
Esoteric and Occult Products,root,Esoteric and Occult Products
Home Decor,root,Home Decor
Supplies,root,Supplies
Auto Accessories,root,Auto Accessories
Audio / Video Equipment,root,Audio / Video Equipment
Car Kits,root,Car Kits
GPS Accessories,root,GPS Accessories
GPS Receivers,root,GPS Receivers
Moto Accessories,root,Moto Accessories
Motorcycle,root,Motorcycle
Wheels,root,Wheels
Baby gear,root,Baby gear
Feeding,root,Feeding
Health & Safety,root,Health & Safety
Toys,root,Toys
Books,root,Books
Moleskine,root,Moleskine
Bags & Backpacks,root,Bags & Backpacks
Belts,root,Belts
Handbags & Wallets,root,Handbags & Wallets
Hats and gloves,root,Hats and gloves
Jewelry,root,Jewelry
Other Accessories,root,Other Accessories
Scarves and wraps,root,Scarves and wraps
Sunglasses,root,Sunglasses
Watches,root,Watches
Baby & Children Apparel,root,Baby & Children Apparel
Men Footwear,root,Men Footwear
Men's Clothing,root,Men's Clothing
Maternity Apparel,root,Maternity Apparel
Women Footwear,root,Women Footwear
Women's Clothing,root,Women's Clothing
Cell Phones Accessories,root,Cell Phones Accessories
Phones & Faxes,root,Phones & Faxes
Smartwatches,root,Smartwatches
Cables & Adapters,root,Cables & Adapters
Notebook Accessories,root,Notebook Accessories
PDA Accessories,root,PDA Accessories
Printer Accessories,root,Printer Accessories
System Accessories,root,System Accessories
Tablet Accessories,root,Tablet Accessories
Card Readers,root,Card Readers
Cases and Power Supplies,root,Cases and Power Supplies
Cooling Fans,root,Cooling Fans
Network Adapters,root,Network Adapters
UPS,root,UPS
Desktops,root,Desktops
Servers,root,Servers
Consumables,root,Consumables
IT services,root,IT services
All-In-Ones,root,All-In-Ones
Gaming Accessories,root,Gaming Accessories
Keyboards & Mice,root,Keyboards & Mice
Office software,root,Office software
Operating systems,root,Operating systems
Other software,root,Other software
Security,root,Security
External Memory,root,External Memory
SSD,root,SSD
Hubs,root,Hubs
Network Accessories,root,Network Accessories
Routers,root,Routers
Wireless Networking,root,Wireless Networking
DVDs,root,DVDs
Games,root,Games
Music,root,Music
3D Multimedia Equipment,root,3D Multimedia Equipment
Audio Systems,root,Audio Systems
CD Players,root,CD Players
DVD & Blu-Ray Players,root,DVD & Blu-Ray Players
Home Cinema,root,Home Cinema
Projectors,root,Projectors
Speakers,root,Speakers
Digital Camera and Camcorder Accessories,root,Digital Camera and Camcorder Accessories
Home Entertainment,root,Home Entertainment
Audio / DJ Equipment,root,Audio / DJ Equipment
Barcode readers & Accessories,root,Barcode readers & Accessories
Batteries,root,Batteries
Headphones,root,Headphones
Microphones,root,Microphones
Projector Accessories,root,Projector Accessories
Remote controllers,root,Remote controllers
Optical Tools,root,Optical Tools
Radios,root,Radios
Calculators,root,Calculators
Digital Picture Frames,root,Digital Picture Frames
MP3 and MP4 Player Accessories,root,MP3 and MP4 Player Accessories
Supports,root,Supports
Food,root,Food
Non-alcoholic drinks,root,Non-alcoholic drinks
Christmas Items & Decorations,root,Christmas Items & Decorations
Flowers,root,Flowers
Other gifts,root,Other gifts
Sweets & Chocolate,root,Sweets & Chocolate
Bath & Body,root,Bath & Body
Body Art,root,Body Art
Fitness,root,Fitness
Fragrance,root,Fragrance
Medicine,root,Medicine
Men Cosmetics,root,Men Cosmetics
Optical Supplies & Eyeglasses,root,Optical Supplies & Eyeglasses
Personal Care,root,Personal Care
Various Natural Products,root,Various Natural Products
Vitamins & Supplements,root,Vitamins & Supplements
Women Cosmetics,root,Women Cosmetics
Air Compressors & Accessories,root,Air Compressors & Accessories
Measuring & Layout Tools,root,Measuring & Layout Tools
Plumbing Accessories,root,Plumbing Accessories
Plumbing Supplies,root,Plumbing Supplies
Power Tools,root,Power Tools
Tools,root,Tools
Building supplies,root,Building supplies
Cleaning Supplies,root,Cleaning Supplies
Electrical & Electronic components,root,Electrical & Electronic components
Furniture,root,Furniture
Garden & Outdoors,root,Garden & Outdoors
Home Improvement,root,Home Improvement
Homewear,root,Homewear
Kitchen & Dining,root,Kitchen & Dining
Pet Supply,root,Pet Supply
Pets,root,Pets
Rugs  Tapestry & Linens,root,Rugs  Tapestry & Linens
Safety Gear,root,Safety Gear
Solar Panels & Accessories,root,Solar Panels & Accessories
Air Conditioners,root,Air Conditioners
Air Purifiers,root,Air Purifiers
Dehumidifiers,root,Dehumidifiers
Fan Heaters,root,Fan Heaters
Fans,root,Fans
Heaters,root,Heaters
Humidifiers,root,Humidifiers
Stoves & Fireplaces,root,Stoves & Fireplaces
Chest Freezers,root,Chest Freezers
Grills & Ovens,root,Grills & Ovens
Refrigerators,root,Refrigerators
Sewing Machines,root,Sewing Machines
Vacuum Cleaners,root,Vacuum Cleaners
Lighting,root,Lighting
Bread Makers,root,Bread Makers
Coffee Makers & Grinders,root,Coffee Makers & Grinders
Food Grinders & Mills,root,Food Grinders & Mills
Food Steamers,root,Food Steamers
Ice Cream Makers,root,Ice Cream Makers
Juicers,root,Juicers
Microwaves,root,Microwaves
Mixers & blenders,root,Mixers & blenders
Other Kitchen Appliances,root,Other Kitchen Appliances
Toasters & Sandwich Makers,root,Toasters & Sandwich Makers
Hair Care,root,Hair Care
Irons,root,Irons
Other Small Appliances,root,Other Small Appliances
Board Games,root,Board Games
Make-up & Costumes,root,Make-up & Costumes
Party Supplies,root,Party Supplies
Adult,root,Adult
Gadget,root,Gadget
Industrial Gear,root,Industrial Gear
Magazines,root,Magazines
Medical Supplies,root,Medical Supplies
Musical Instruments,root,Musical Instruments
Office Equipment,root,Office Equipment
Office Supplies,root,Office Supplies
Wedding and Bridal Articles,root,Wedding and Bridal Articles
Baseball & Softball,root,Baseball & Softball
Basketball,root,Basketball
Bikes & Accessories,root,Bikes & Accessories
Boats & Accessories,root,Boats & Accessories
Boxing & Martial Arts,root,Boxing & Martial Arts
Camping,root,Camping
Climbing,root,Climbing
Darts,root,Darts
Fishing,root,Fishing
Football,root,Football
Golf,root,Golf
Hockey & Ice Skating,root,Hockey & Ice Skating
Hunting,root,Hunting
Other Sports,root,Other Sports
Paintball & Airsoft,root,Paintball & Airsoft
Skateboarding & Skating,root,Skateboarding & Skating
Snowboarding & Ski,root,Snowboarding & Ski
Soccer,root,Soccer
Table tennis,root,Table tennis
Tennis,root,Tennis
Volleyball,root,Volleyball
Water Sports,root,Water Sports
PID:1,Collectibles,boston red sox for men by boston red sox eau de toilette spray 3.4 oz
PID:2,Collectibles,twilight central park print
PID:3,Collectibles,fox print
PID:4,Collectibles,circulo de papel wall art
PID:5,Collectibles,hidden path print
PID:6,Collectibles,bear print
PID:7,Collectibles,remington forend cap aluminum black
PID:8,Collectibles,the metropolitan museum of art new york scarf size 00 tan women 039 s accessories 35001716
PID:9,Collectibles,blue and green print
PID:10,Collectibles,above and beyond ii print
PID:11,Collectibles,remain in light print
PID:12,Collectibles,shanghai botanical garden print
PID:13,Collectibles,haze i panel
PID:14,Collectibles,emerald print
PID:15,Collectibles,port au prince print
PID:16,Collectibles,evening print
PID:17,Collectibles,find me here print
PID:18,Collectibles,september wildflowers
PID:19,Collectibles,coastal clouds print
PID:20,Collectibles,fawn print
PID:21,Collectibles,deep water ripple print
PID:22,Collectibles,reflection print
PID:23,Collectibles,evening calm print
PID:24,Collectibles,intervals triptych print
PID:25,Collectibles,trademark fine art banksy gallery wrapped canvas art prints canvas 30 x 47 multi color hustler club
PID:26,Collectibles,fhs entertainment ncaa memorabilia mark ingram alabama crimson tide replica full size helmet red
PID:27,Collectibles,artsy canvas baseball bat city pride skylines on canvas dallas 24x16 canvas red
PID:28,Collectibles,artsy canvas baseball bat city pride skylines on canvas los angeles br 36x24 canvas red
PID:29,Collectibles,mojo ncaa carry on spinner luggage boston college
PID:30,Collectibles,mojo mlb 21 hardcase spinner luggage san diego padres black
PID:31,Collectibles,mojo licensing ncaa soft sided carry on spinner luggage michigan
PID:32,Collectibles,mojo licensing ncaa soft sided carry on spinner luggage stanford
PID:33,Collectibles,mojo mlb 21 hardcase spinner luggage milwaukee brewers black
PID:34,Collectibles,mojo licensing ncaa soft sided carry on spinner luggage arizona state
PID:35,Collectibles,mojo mlb 21 hardcase spinner luggage arizona diamondbacks black
PID:36,Collectibles,mojo licensing ncaa soft sided carry on spinner luggage arkansas
PID:37,Collectibles,fan creations all i need frame set 3 piece minnesota vikings
PID:38,Collectibles,fan creations all i need frame set 3 piece green bay packers
PID:39,Collectibles,trademark fine art marilyn hageman 039 classical horse 039 canvas art 18 x 18 multi color
PID:40,Collectibles,trademark fine art kurt shaffer 039 green heron 039 matted silver framed art black canvas 16 x 20
PID:41,Collectibles,fabness one 10x15 canvas
PID:42,Collectibles,fabness three 10x15 canvases
PID:43,Collectibles,wilson nba and ncaa autographed memorabilia george gervin 16x20 photo san antonio spurs hof 96 top 50 psa/dna stock 16473
PID:44,Collectibles,the merrick mint armed forces wwii coin collection navy blue
PID:45,Collectibles,wilson nba and ncaa autographed memorabilia kareem abdul jabbar los angeles lakers z i/o basketball 110963
PID:46,Collectibles,wilson nba and ncaa autographed memorabilia clyde drexler 16x20 photo portland trail blazers steiner stock 88533
