child,parent,description
root,,root
J,root,J
JC,J,JC
JX,J,JX
JQ,J,JQ
JA,J,JA
JK,J,JK
JS,J,JS
JV,J,JV
JF,J,JF
JZ,J,JZ
JN,J,JN
JP,J,JP
JE,J,JE
JL,J,JL
JJ,J,JJ
JB,J,JB
J?,J,J?
JC328-A-1997,JC,A brutal friendship : the West and the Arab elite 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JC599-V-1991,JC,A Victory turned sour : human rights in Kuwait since liberation.
JQ1852-A-1985,JQ,Administrative development an Islamic perspective 
JX4084-S-1970,JX,An examination of documents on which the State of Israel is based 
JQ1830-M-1997,JQ,Arab national communism in the Jewish state 
JA84-H-1962,JA,Arabic thought in the liberal age
JX1974-A-1994,JX,Arms control and the new Middle East security environment 
JC599-B-1996,JC,Behind the red line : political repression in Sudan 
JK468-I-1987,JK,Veil : the secret wars of the CIA 1981-1987 
JQ1825-N-1978,JQ,Bureaucratic culture : citizens and administrators in Israel 
JQ3215-H-1984,JQ,Charte nationale
JQ1825-B-1977,JQ,Civil service reforms in Lebanon : an evaluation of the Lebanese civil service system with special emphasis on the role of the Civil Service Board 
JQ1825-S-1978,JQ,Communism and agrarian reform in Iraq 
JQ3592-K-1956,JQ,Constitutional development in Libya 
JX1675-C-1979,JX,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan
JQ1850-D-1994,JQ,Democracy without democrats? : the renewal of politics in the Muslim world 
JC599-J-1972,JC,"Ḥurrīyāt al-dīmuqrāṭīyah fī Isrāʼīl. English+""Democratic freedoms in israel "
JQ3942-Z-1964,JQ,Destiny of a dynasty : the search for institutions in Morocco's developing society . 
JX1662-K-1994,JX,Diplomacy 
JS7670-T-1981,JS,Du cheikh à l'omda : institution locale traditionnelle et intégration partisane 
JV7926-T-1981,JV,Dossier immigration 
JQ1758-A-1980,JQ,Electoral politics in the Middle East.
JA88-C-1977,JA,Essays on political education 
JV6091-B-1996,JV,Ethnic cleansing 
JC571-F-1988,JC,Forms of solidarity : Human rights : 14-25 August
JV8749-P-1984,JV,From time immemorial : The origins of the Arab-Jewish conflict over Palestine 
JQ224-M-1986,JQ,Government and bureaucracy in India
JC599-H-1990,JC,Human rights in Iraq 
JQ1825-D-1970,JQ,Immigrant voters in Israel : parties and congregations in a local election campaign 
JX1981-S-1992,JX,In the service of peace in the Middle East
JX4541-K-1973,JX,Insurrection under international law
JX1907-A-1964,JX,International Concilation No 550
JV8760-B-1980,JV,International migration and development in the Arab region 
JQ1785-B-1978,JQ,Iran
JQ1825-R-1993,JQ,Iraq and democracy : a futuristic perspective 
