child,parent,description
root,,root
E,root,E
E101-A-2008,E,The disovery of mankind : Atlanti enounters in the age of olumbus 
E101-D-1954,E,Les onquistadors 
E101--1976,E,First Images of Ameria : the Impat of the New World on the Old 
E101-G-1991,E,Marvelous possessions : the wonder of the New World 
E101--1993,E,The meeting of two worlds : Europe and the Amerias 1492-1650 
E101-M-1971,E,The European disovery of Ameria : the northern voyages
E101-M-1978,E,The great explorers : the European disovery of Ameria 
E101--1959,E,The Northmen
E101-O-1984,E,The age of disovery
E101-O-1964,E,Early voyages and northern approahes
E101-Q-1977,E,North Ameria from earliest disovery to first settlements : the Norse voyages to 1612 
E101-Q-1971,E,North Amerian disovery
E101--1995,E,Rae
E101-T-1992,E,Beyond geography : the western spirit against the wilderness 
E101-T-1980,E,Beyond geography : the western spirit against the wilderness 
E103-F-1978,E,Ameria B.. : anient settlers in the New World 
E103-M-2006,E,1491 : the Amerias before olumbus 
E105-M-1965,E,Westviking : the anient Norse in Greenland and North Ameria 
E109-D-1966,E,Mado and the disovery of Ameria : some new light on an old ontroveersy 
E109-F-1979,E,Mado : the making of a myth 
E109A35-V-1977,E,They ame before olumbus : the Afrian presene in anient Ameria 
E110-O-1972,E,The invention of Ameria : an inquiry into the historial nature of the New World and the meaning of its history 
E110-S-1992,E,Amerian holoaust : the onquest of the New World 
E110--1991,E,Seeds of hange : a quinentennial ommemoration 
E111-D-1957,E,The truth about olumbus and the disovery of Ameria 
E111-F-1991,E,olumbus 
E111-I-1897,E,The life and voyages of hristopher olumbus 
E111-M-1942,E,Admiral of the Oean Sea : a Life of hristopher olumbus 
E111-M-1956,E,hristopher olumbus
E111-P-1993,E,Worlds of hristopher olumbus 
E111-S-1990,E,onquest of paradise : hristopher olumbus and the olumbian legay 
E111-W-1991,E,The mysterious history of olumbus : an exploration of the man
E111-Y-1911,E,hristopher olumbus and the new world of his disovery 
E112-B-1992,E,Ameria disovers olumbus : how an Italian explorer beame an Amerian hero 
E118-o-1989,E,"The ""diario"" of hristopher olumbus's first voyage to Ameria 1492-1493 "
E118-o-1969,E,The four voyages of hristopher olumbus : being his own log-book
E118-o-1960,E,The journal 
E118-J-1930,E,Selet douments illustrating the four voyages of olumbus.. 
E118-J-1933,E,Selet douments illustrating the four voyages of olumbus.. 
E118-S-2005,E,hristopher olumbus and the enterprise of the Indies : a brief history with douments 
E121-B-1964,E,The Explorers of North Ameria
E121-o-1969,E,The four voyages of hristopher olumbus 
E121-H-1978,E,The searh for El Dorado 
E121-L-1946,E,The New World : the first pitures of Ameria...with ontemporary narratives of the Huguenot settlement in Florida
E121-M-1974,E,The European disovery of Ameria : the southern voyages
E121-P-1979,E,The disovery of South Ameria 
E121-S-1971,E,Sixteenth entury North Ameria : the land and the people as seen by the Europeans 
E121-S-1996,E,eremonies of possession in Europe's onquest of the New World
E123-D-1997,E,olumbus then and now : a life reexamined 
E123-G-1986,E,Nature in the New World : from hristopher olombus to Gonzalo Fernandez de Oviedo 
